R    G   B
112 219 147
0   204 153
0     0   0
0     0 255
95  159 159
66   66 111
107  35 142
191 216 216
143 143 188
50  50 204
127 0 255
47  47  79
35  35 142
35  35 142
50  153 204
0   127 255
255 127   0
0   255 255
35  107 142
142 35  35
204 127  50
219 219 112
234 234 173
0   255   0
47  79  47
79  79  47
35  142  35
50  204  50
107 142  35
66  111  66
127 255   0
143 188 143
35  142 107
0   255 127
153 204  50
47  79  79
84  84  84
168 168 168
159 159  95
255   0 255
142  35 107
204  50  50
219 112 219
153  50 204
147 112 219
188 143 143
234 173 234
255   0   0
